label,texto
VERDADEIRO,Fui expulso do PSDB porque apoiei a instalação de uma CPI para investigar a corrupção — Alvaro Dias Podemos
VERDADEIRO,FHC aumentou de 26% para 32% do PIB a carga tributária — Fernando Haddad PT
VERDADEIRO,Nós PT não aumentamos em 1% do PIB a carga tributária — Fernando Haddad PT
VERDADEIRO,27% dos jovens estão no desemprego — Geraldo Alckmin PSDB
FALSO,Não fechamos nenhuma escola — Geraldo Alckmin PSDB
FALSO,Multidão que os petistas estão dizendo ser do PT é na verdade o desfile do bloco Galo da Madrugada
FALSO,RAPAZ VAI SER NO PRIMEIRO TURNO! #17
FALSO,Entre todos os candidatos somente Geraldo Alckmin  apresentou propostas para combater a criminalidade que assola o país
INSUSTENTÁVEL,De 2002 até agora 3 milhões e 700 mil empregos foram gerados por Geraldo e seu partido em São Paulo
VERDADEIRO,Jair Bolsonaro que em quase 30 anos de Congresso nunca presidiu uma comissão
VERDADEIRO,Você quer seu filho cursando o ensino médio na pública e ao mesmo tempo aprendendo uma profissão? Passando o dia na escola fazendo três refeições e com estágio em empresa pago pelo governo? Isso já existe no Ceará
VERDADEIRO,O Prouni que já beneficiou mais de dois milhões de estudantes de baixa renda
EXAGERADO,Criamos 20 milhões de emprego com carteira assinada
VERDADEIRO,Criamos 10 milhões de empregos
EXAGERADO,Foi governador do Paraná com mais de 90% de aprovação
FALSO,Ao completar 5 anos de idade a criança passa a ser propriedade do Estado! Cabe a nós decidir se menino será menina e vice-versa! Aos pais cabe acatar nossa decisão respeitosamente! Sabemos o que é melhor para as crianças! - Fernando Haddad
EXAGERADO,Reduzi o desmatamento em 80%
INSUSTENTÁVEL,Só consegui colocar 725 pessoas na cadeia porque tinha um bom processo com a Polícia Federal e o Ibama
IMPRECISO,PT MDB e PSDB Eles têm quase R$ 05 bilhão para fazer suas campanhas eu tenho apenas R$ 10 milhões para fazer a campanha de deputado senador presidente da República e governador
VERDADEIRO,Hoje na prática já existe uma idade mínima As pessoas pobres  já se aposentam aos 65 anos
VERDADEIRO,Dobrei as reservas extrativistas
FALSO,'Caso Bolsonaro seja eleito saio do STF' diz Gilmar Mendes
FALSO,Áudio gravado por enfermeira mostra Bolsonaro surtando após divulgação de pesquisa Ibope
DISTORCIDO,100% ABSURDO! Olha a visão do candidato de LulaLadrão Malddad o cara que vocês irão votar a pedido do LulaLadrão a mesma coisa de Dilma e Temer ou talvez pior ainda!
VERDADEIRO,Nunca tive uma denúncia por corrupção não tenho nenhum processo — Henrique Meirelles MDB
IMPRECISO,O Judiciário brasileiro vedou a possibilidade de Fiocruz produzir remédio contra a hepatite C a pretexto de guardar uma patente internacional — Ciro Gomes PDT
VERDADEIRO,Nós tivemos 63 mil assassinatos no Brasil — Geraldo Alckmin PSDB
VERDADEIRO,9 milhões de pessoas levadas para a linha abaixo da pobreza — Geraldo Alckmin PSDB
VERDADEIRO,Mulheres receberem salários menores — Marina Silva Rede
EXAGERADO,Nesse momento enquanto estamos aqui nesse debate três pessoas vão morrer por causa da hepatite C — Marina Silva Rede
VERDADEIRO,Quando assumi o PIB tinha caído mais de 5% — Henrique Meirelles MDB
VERDADEIRO,Geramos 20 milhões de empregos — Fernando Haddad PT
VERDADEIRO,São mais de 60 mil estupros — Marina Silva Rede
VERDADEIRO,2 milhões de bolsas do Prouni concedidas a jovens de baixa renda — Fernando Haddad PT
EXAGERADO,O PT pediu dezenas de impeachments contra o presidente FHC — Geraldo Alckmin PSDB
VERDADEIRO,Quanto mais pobre você é mais imposto você paga proporcionalmente à sua renda — Ciro Gomes PDT
EXAGERADO,Os governos passados Legaram a nós brasileiros 62 milhões abaixo da linha da pobreza — Alvaro Dias Podemos
VERDADEIRO,O governo Dilma-Temer foi o que menos demarcou terras — Marina Silva Rede
VERDADEIRO,O Ceará cobra 8% sobre as heranças grandes e São Paulo cobra 4% — Ciro Gomes PDT
VERDADEIRO,A agricultura familiar responde por 80% da comida da nossa mesa — Ciro Gomes PDT
INSUSTENTÁVEL,A reforma trabalhista Gerou mais informalidade e mais desemprego — Guilherme Boulos PSOL
FALSO,O Pronaf a agricultura familiar nunca recebeu tantos recursos como no governo Lula — Fernando Haddad PT
FALSO,São Paulo  não aumentou um imposto
FALSO,No Brasil de cada 100 alunos que entram no ensino médio só 59 se formam: 41% abandonam o ensino médio
FALSO,Nós São Paulo temos a menor evasão escolar do Brasil
VERDADEIRO,e teve superávit no ano passado de R$ 53 bilhões
VERDADEIRO,São Paulo melhorou no primeiro ciclo melhorou no segundo ciclo
EXAGERADO,Reduzimos de 126 dias para quatro dias o tempo para abrir uma empresa — João Doria PSDB
VERDADEIRO,Eu como presidente do Sesi implantei o ensino em tempo integral — Paulo Skaf MDB
VERDADEIRO,Bolsonaro propôs um PL em que o SUS não é mais obrigado a atender mulheres vítimas da violência sexual — Professora Lisete PSOL
FALSO,Em nenhuma citação foi falado que eu tenha recebido ou pago qualquer recurso ilegal — Paulo Skaf MDB
FALSO,Eles não foram beneficiados em absolutamente nada empresas que doaram para São Paulo — João Doria PSDB
VERDADEIRO,É crescente o número de mulheres que apoia Bolsonaro — Rodrigo Tavares PRTB
INSUSTENTÁVEL,Skaf Que viu em 14 anos da sua presidência na Fiesp a indústria paulista desmontar 570 mil empregos na indústria paulista — Luiz Marinho PT
INSUSTENTÁVEL,Hoje o tempo necessário para exame de imagem: ultrassonografia radiografia e tomografia é de 42 dias — João Doria PSDB
VERDADEIRO,Eu fiz uma proposta e mandei para a Assembleia: cada vez que o trem na CPTM parar as pessoas terão indenização para poder optar R$ 20 de indenização — Márcio França PSB
VERDADEIRO,Os nossos presídios mais de 130 mil presos estão nos presídios hoje — Márcio França PSB
FALSO,Geramos 14 milhões de empregos quando eu fui ministro do Trabalho do presidente Lula — Luiz Marinho PT
IMPRECISO,As minhas contas foram rejeitadas pela Câmara Municipal por orientação do Tribunal de Contas em casos em que o Tribunal de Contas indicou diferença no processo de pagamento de precatórios — Marcelo Cândido PDT
EXAGERADO,Na prefeitura de São Paulo  suspenderam a entrega desses leites do programa Leve Leite — Márcio França PSB
FALSO,Um milhão de pessoas se reúnem por Bolsonaro em Brasília! É de arrepiar! E ainda dizem que ele não vencerá no primeiro turno mas é claro que eu não acredito!
FALSO,Muito poucos países têm essa coisa de 'inflation target' que se chama 'meta de inflação' no Brasil
FALSO,Eu fui ministro da Fazenda  e eu peguei a inflação a 3% ao mês e entreguei com 0%
FALSO,Do dia que a reforma trabalhista entrou em vigor com a mentirosa promessa que ia ajudar a superar o desemprego 980 mil novos desempregados foram produzidos no Brasil
IMPRECISO,Está proibido comandante militar dar opinião sobre política Simples assim Está escrito na Constituição brasileira e em todos os regulamentos que chefes militares não podem opinar na política
VERDADEIRO,Eu fui ministro da Fazenda  e ao final desse período o país estava crescendo com desemprego quase perto de 3%
DISTORCIDO,TSE entregou códigos de segurança das urnas eletrônicas para a Venezuela e negou acesso para auditores brasileiros
FALSO,O Haddad já disse isso  no mesmo minuto da posse ele assina o indulto de Lula e no momento seguinte o nomeia Chefe da Casa Civil
INSUSTENTÁVEL,Não podemos esquecer que em 2014 Dilma  em Quito entre outras medidas decidiu criar uma Unidade Técnica Eleitoral Sul-Americana O PT descobriu o caminho para o poder: o voto eletrônico
VERDADEIRO,O PT surgiu em 80 no período do que chamam ditadura militar
VERDADEIRO,A frase de maior força da argumentação de Rachel Dodge na ação contra o voto impresso era a de que a impressão do voto comprometia a segurança das eleições
EXAGERADO,O número de roubos de veículos diminuiu 34%
EXAGERADO,Reduzimos em 70% o número de homicídios
EXAGERADO,até o Bolsa Família está sendo cortado no governo Temer
EXAGERADO,Os integrantes do governo Temer Aumentaram a gasolina o diesel
VERDADEIRO,Ciro Gomes é ficha limpa
VERDADEIRO,Senador mais bem votado do Brasil
FALSO,Ato em campinas em prol da saúde do PRESIDENTE JAIR MESSIAS BOLSONARO
FALSO,Vereador José Rainha do PT Bateu na repórter e a cena não saiu em nenhum jornal rádio ou canal de TV
FALSO,Quando que a recessão começa? Depois da reeleição de Dilma Rousseff
FALSO,Dilma afastou Renato Duque quando tomou posse a partir de um rumor de que ele poderia estar envolvido em um esquema de propina
IMPRECISO,e começa o Aécio Neves e o Eduardo Cunha a aprovar despesa atrás de despesa durante o segundo mandato de Dilma
VERDADEIRO,Meu plano de metas tinha 123 metas eu cumpri a maioria delas
VERDADEIRO,Eu entreguei a prefeitura de SP com R$ 55 bilhões em caixa com R$ 22 bilhões para pagar
FALSO,Quando eu vejo quem são os inimigos do Bolsonaro eu falo: 'eu tô escolhendo o cara certo' Porque ele representa aquilo que eu acredito
FALSO,Fátima Bernardes faz surpresa e reforma casa da família de esfaqueador de Bolsonaro
FALSO,foto com Gleisi Hoffmann foi encontrada em um dos celulares do #assassino Adélio Bispo de Oliveira autor do atentado contra o Jair Messias #Bolsonaro
FALSO,Mãe com criança dentro do seu veículo é agredida por terroristas de Esquerda apoiadores de Lula e Haddad somente por ter um adesivo de Bolsonaro no seu carro
FALSO,Bastaram dois anos para que o Brasil voltasse ao Mapa da Fome
INSUSTENTÁVEL,Bastaram dois anos para o aumento da mortalidade infantil
INSUSTENTÁVEL,Bastaram dois anos para o aumento da mortalidade materna
VERDADEIRO,Foram 20 milhões de empregos em 12 anos
VERDADEIRO,Será que foi por Lula ter Duplicado as vagas públicas nas universidades federais
DISTORCIDO,Mutreta bilionária no Fies teve participação dos réus Haddad Mercadante Dilma entre outros
FALSO,Aproximadamente 25% dos professores que atuam na educação básica não possuem licenciatura específica para as disciplinas que lecionam — programa da chapa do PT
IMPRECISO,Somente 56% das matrículas no ensino médio são em tempo integral — programa da chapa do PT
IMPRECISO,O Ceará com 77 das 100 melhores escolas públicas do ensino fundamental brasileiro — programa de governo de Ciro Gomes PDT
VERDADEIRO,28% das pessoas entre 18 e 24 anos não estudavam nem trabalhavam em 2017 na faixa entre 25 e 29 anos esse percentual era de 25% — programa de Ciro Gomes PDT
IMPRECISO,28 milhões de crianças e adolescentes estão fora da escola A maior parte tem entre 15 a 17 anos — programa de governo Jair Bolsonaro PSL
VERDADEIRO,Quase metade dos jovens de 14 a 29 anos não completou o ensino médio — programa de governo de Jair Bolsonaro PSL
VERDADEIRO,Atualmente a oferta de creches para crianças de 0 a 3 anos é de 30% — programa de governo de Marina Silva Rede
VERDADEIRO,Hoje a maioria dos estudantes do ensino fundamental não atinge níveis de proficiência adequados — programa de governo de Marina Silva Rede
FALSO,FACADA EM BOLSONARO - DIVULGADO O ESCÂNDALO QUE TODO MUNDO SUSPEITAVA!!! — Talvez isso explique a razão do jornalista Jorge Kajuru ter declarado a seguinte frase: Se as pessoas soubessem o que aconteceu em Juiz de Fora ficariam enojadas
FALSO,Fotos mostram homem que atacou Bolsonaro na companhia de Lula
VERDADEIRO,Quando eu fui presidente do Banco Central no governo Lula criamos 10 milhões de empregos no Brasil em oito anos — Henrique Meirelles MDB
VERDADEIRO,sua fortuna Meirelles de quase R$ 400 milhões — Guilherme Boulos PSOL
EXAGERADO,Em 2016 chegamos a 542% na taxa do cartão de crédito na taxa de juros do cartão de crédito — Alvaro Dias Podemos
VERDADEIRO,enquanto em Portugal é o Banco Central que define os juros e lá 16% ao ano — Alvaro Dias Podemos
IMPRECISO,O Brasil é o país que mais consome agrotóxico no mundo — Guilherme Boulos PSOL
VERDADEIRO,No Ceará o número de homicídios dobrou nos últimos dez anos — Marina Silva Rede
IMPRECISO,O baronato brasileiro Mantém mais de US$ 500 bilhões no estrangeiro — Ciro Gomes PDT
INSUSTENTÁVEL,O governo federal não tinha uma penitenciária de segurança máxima nós já tínhamos três — Geraldo Alckmin PSDB
EXAGERADO,1 de cada 3 escolas de ensino médio do Ceará que é muito pobre já é assim oferecem estágio remunerado — Ciro Gomes PDT
VERDADEIRO,A lei diz claramente que ocupando a mesma posição e tendo exatamente as mesmas funções homens e mulheres devem ganhar a mesma coisa — Henrique Meirelles MDB
VERDADEIRO,Saímos do 25º Estado mais perigoso para o mais seguro do país — Geraldo Alckmin PSDB
VERDADEIRO,Nosso país é o quinto em morte contra as mulheres — Guilherme Boulos PSOL
VERDADEIRO,As mulheres negras são as mais agredidas — Marina Silva Rede
EXAGERADO,Em São Paulo 90 mil presos trabalham e estudam — Geraldo Alckmin PSDB
VERDADEIRO,São 33 mil assassinatos por ano de jovens — Marina Silva Rede
VERDADEIRO,Pela primeira vez na história brasileira  um presidente da República é acusado ele mesmo pela PGR por corrupção e formação de quadrilha — Ciro Gomes PDT
FALSO,Agressor de Bolsonaro é assessor da campanha de Dilma ao Senado
INSUSTENTÁVEL,Geraldo triplicou o número de delegacias da mulher em São Paulo — programa eleitoral de Geraldo Alckmin PSDB em 6 de setembro de 2018
VERDADEIRO,Geraldo Alckmin criou o programa Mulheres de Peito — programa eleitoral de Geraldo Alckmin PSDB em 6 de setembro de 2018
EXAGERADO,Cortaram o governo Temer o Bolsa Família — programa eleitoral do PT em 6 de setembro de 2018
VERDADEIRO,A ONU já decidiu que Lula pode ser candidato Mesmo assim o registro foi negado — programa eleitoral PT em 4 de setembro de 2018
CONTRADITÓRIO,Nunca tive um processo na vida — programa eleitoral de Henrique Meirelles MDB em 4 de setembro de 2018
VERDADEIRO,Brasil 2002 Os brasileiros sofrendo com uma grave crise econômica — programa eleitoral de Henrique Meirelles MDB em 4 de setembro de 2018
VERDADEIRO,Eu pedi o impeachment da Dilma — programa eleitoral de Alvaro Dias Podemos em 4 de setembro de 2018
VERDADEIRO,Eu pedi a cassação do Temer — programa eleitoral de Alvaro Dias Podemos em 4 de setembro de 2018
VERDADEIRO,A dívida média de cada um com nome no SPC é de R$ 4200 — programa eleitoral de Ciro Gomes PDT em 4 de setembro de 2018
FALSO,Polícia Federal descobriu esquema que planejava o assassinato de Jair Bolsonaro
FALSO,Homem que tentou matar Bolsonaro era petista seguidor de Lula
FALSO,O suspeito de ter atacado Bolsonaro seria José Adélio Bispo de Oliveira filiado ao PDT mineiro
FALSO,Foto mostra o candidato que sofreu uma tentativa de homicídio entrando a pé no hospital
FALSO,Adélio Bispo de Oliveira é o nome do petista que tentou matar Jair Bolsonaro hoje em Juiz de Fora Ele é filiado ao Partido dos Trabalhadores
VERDADEIRO,Você sabe quem foi o meu ministro da Educação? É o Mendonça Filho que é do DEM um partido que apoia a sua candidatura — vídeo de Michel Temer para Geraldo Alckmin
INSUSTENTÁVEL,Hoje escrevemos mais um capítulo para a história do DEM Na Convenção Nacional em Brasília definimos os novos rumos para o nosso trabalho e oficializamos o apoio à pré-candidatura da Presidência da República do ex-governador @geraldoalckmin pictwittercom/cp2hL46qdF
VERDADEIRO,A saúde melhorou muito no nosso governo — vídeo de Michel Temer para Geraldo Alckmin
VERDADEIRO,e o Ministério da Saúde está com o PP um partido que apoia a sua candidatura teve três ministérios continua com três ministérios — vídeo de Michel Temer para Geraldo Alckmin
VERDADEIRO,Você sabe quem foi o ministro da Indústria e Comércio? Foi o Marcos Pereira que é candidato a deputado federal do PRB que apoia a sua candidatura Estava no meu governo e continua no meu governo e agora é base de apoio da sua candidatura — vídeo de Michel Temer para Geraldo Alckmin
VERDADEIRO,Agora eu volto a falar com você para dizer como o PSDB me ajudou no governo e como foi base do governo — vídeo de Michel Temer para Geraldo Alckmin
VERDADEIRO,eu nomeei o José Serra para o Ministério das Relações Exteriores — vídeo de Michel Temer para Geraldo Alckmin
VERDADEIRO,Mais tarde eu levei o PSDB para dentro do Palácio do Planalto por meio do nosso prezadíssimo Imbassahy — vídeo de Michel Temer para Geraldo Alckmin
INSUSTENTÁVEL,Só neste ano foram criadas 448 mil vagas com carteiras assinadas — vídeo de Michel Temer para Fernando Haddad
FALSO,Bolsonaro é o meu candidato ideal? Não Mas vou votar nele? Vou Como eu classificaria o meu voto? Voto útil — Arnaldo Jabor
FALSO,Desejo de votar em Lula chega a 49% no cenário sem o petista Haddad lidera Bolsonaro mantém segunda posição e cai o índice de Alckmin
FALSO,Pesquisa Ibope/Globo mostra Haddad em primeiro com 34% das intenções
FALSO,Museu recebeu R$ 24 milhões no 1º semestre e R$ 217 milhões em junho Que fim levou o dinheiro?
IMPRECISO,Investimento em infraestrutura que atualmente apresenta um estoque de capital empregado correspondente a 12% do PIB
FALSO,o estoque de capital de investimento em infraestrutura é de um número excessivamente baixo se comparado com 65% no Japão e 40% na Índia
IMPRECISO,Um estudo realizado pela Fiesp projeta que até 23% do nosso PIB são perdidos a cada ano com práticas posturas e condutas corruptas ou seja algo em torno de R$ 100 bilhões
VERDADEIRO,Investimento nacional que chegou ao seu ápice nesse século em 2013 representando 21% do PIB para em seguida apresentar quedas constantes atingindo patamares inferiores a 16%
VERDADEIRO,O segmento mais pobre da população que atualmente corresponde a quase 15 milhões de pessoas segundo pesquisa recente do IBGE
VERDADEIRO,Durante o governo de Juscelino Kubitschek crescemos em média 8% ao ano
FALSO,ONU afirma que levar crianças à igreja é 'violação dos direitos humanos'
DISTORCIDO,O mais irônico é que a UFRJ recebeu uma grana forte do BNDES em junho para restaurar o museu Agora pergunta à UFRJ para onde essa grana foi Vai pergunta
FALSO,Saiba mais sobre o KIT GAY: você quer isto para seus filhos? FOTOS/VÍDEOS
FALSO,6 mil toras de mogno apreendidas Valor: 8 milhões Um dos maiores desmatadores da Amazônia é marido de Marina Silva
DISTORCIDO,Todos os professores precisam saber o que o plano de governo do Amoêdo diz sobre eles!
FALSO,Não é verdade que houve críticas sobre a demora no licenciamento durante o tempo no Ministério do Meio Ambiente
FALSO,Eu sou a única candidata que disse que apóia a Lava Jato
VERDADEIRO,Desde 2010 que eu defendo que a gente tinha que transitar para um regime de capitalização e contribuições
VERDADEIRO,A UFMG fez um estudo que 80% das atividades domésticas são feitas por mulheres
FALSO,Desde que ele Temer entrou ele só aumenta o déficit público
FALSO,São 308 homicídios por mil habitantes segundo o Atlas da Violência de 2018
EXAGERADO,Mais da metade 556% das pessoas abaixo da linha de pobreza é de mulheres sem cônjuge com filhos até 14 anos
IMPRECISO,mais de 80% da população em média não possui recursos para alternativas fora da saúde pública
IMPRECISO,Neste campo devemos seguir o exemplo adotado no estado do Ceará terra de nosso candidato Ciro Gomes: entre as 100 cidades com o melhor Ideb Índice de Desenvolvimento da Educação Básica do país 77 delas lá se encontram
VERDADEIRO,nosso baixo crescimento de apenas 22% ao ano em média nos últimos 30 anos 1988-2017
FALSO,O Aécio Neves foi afastado da presidência do partido  Só fui eleito presidente do PSDB porque ele foi afastado
FALSO,Hoje de cada 100 alunos 41 não terminam o ensino médio Tem uma taxa de evasão escolar de 41%
IMPRECISO,Há 143 empresas estatais 43 foram criadas só no governo do PT
VERDADEIRO,Você sabe quantos presos em São Paulo? 228 mil presos  Nós temos 22% da população brasileira 35% da população carcerária
VERDADEIRO,O PTC não me apoia Ele apoia outro candidato
VERDADEIRO,Nós subimos em São Paulo quase o dobro do Brasil na nota do Pisa O Brasil subiu 11 nós subimos praticamente 22 nos últimos nove anos
DISTORCIDO,PT defende estatização da Canção Nova TV Aparecida e outras emissoras religiosas
FALSO,Plano Nacional de Promoção e Cidadania LGBT: são 180 itens entre eles a desconstrução da heteronormatividade Ou seja estão ensinando em algumas escolas que homem e mulher tá errado
FALSO,Eles tinham acabado o 9° Seminário LGBT infantil Estavam discutindo ali comemorando o lançamento do material para combater a homofobia que passou a ser conhecido como kit gay Entre esse material estava esse livro 'Aparelho Sexual e Cia'
FALSO,Você nunca ouviu isso Eu nunca falei isso que empregaria mulheres com salário menor do que o dos homens
FALSO,Eu fui o único a votar contra a PEC das Domésticas em dois turnos
IMPRECISO,Citado no mensalão por Joaquim Barbosa como o único deputado da base aliada que não foi comprado pelo PT
FALSO,Sou o único candidato que tem a proposta tributária explícita no programa de governo
FALSO,Réu com certeza ele Carlos Lupi não é
EXAGERADO,Uma de cada três escolas de ensino médio no Ceará é de ensino integral profissionalizante
IMPRECISO,A dívida média dos brasileiros inadimplentes é de R$ 4 mil
VERDADEIRO,Na Lava Jato No lado do PSDB não há nenhum na cadeia  Nenhum deles foi preso
VERDADEIRO,Fui o governador mais popular do Brasil O prefeito de capital mais popular do Brasil
FALSO,nos últimos oito anos o Brasil caiu 17 posições no Global Innovation Index
EXAGERADO,Em 2017 o país empregou 17 milhão de trabalhadores direta e indiretamente na geração de energias renováveis
VERDADEIRO,com destaque para 795 mil empregos na área de biocombustíveis
VERDADEIRO,Hoje o Brasil é o líder mundial no ranking em transtornos de ansiedade
IMPRECISO,e o quinto em depressão
DISTORCIDO,ESSA É MARINA SILVA INVADINDO FAZENDAS NO ESTILO MST EM 1986 É ISSO QUE VOCÊ QUER PARA PRESIDENTE DA REPÚBLICA DO BRASIL?
IMPRECISO,Criamos a Univesp Saiu de 3 mil pra mais de 50 mil alunos — Márcio França PSB
FALSO,São Paulo tem  450 mil alunos em toda a rede pública universitária — Márcio França PSB
IMPRECISO,A LDO está sendo discutida foram reservados R$ 23 bilhões para desonerações — Professora Lisete PSOL
IMPRECISO,O agro é o setor que cresceu 13% ano passado de um país que não cresceu sequer 1% — João Doria PSDB
FALSO,Em menos de quatro meses reduzimos de 126 dias para apenas quatro dias a abertura de novas empresas — João Doria PSDB
VERDADEIRO,A sua nota João Doria no Datafolha é 37 — Professora Lisete PSOL
EXAGERADO,Eu fui ministro do Trabalho do presidente Lula e ajudei aprendi com ele a gerar 14 milhões de empregos com carteira assinada — Luiz Marinho PT
VERDADEIRO,Fui eleito com 60% dos votos na Fiesp  e fui reeleito outras vezes quase de forma unânime — Paulo Skaf MDB
VERDADEIRO,Há 30 estupros por dia em São Paulo — Luiz Marinho PT
VERDADEIRO,A gente fala de índice de homicídios mas se esquece que nessas duas horas em que estamos juntos pelo menos 90 pessoas vão ter sido roubadas assaltadas mulheres violentadas — Paulo Skaf MDB
VERDADEIRO,A USP por meio da FAU desenvolveu e já desenvolve há mais ou menos 10 anos o projeto de um hidroanel metropolitano — Marcelo Cândido PDT
FALSO,Em 2015 mais de 137 milhões de famílias recebiam o Bolsa Família mas o governo golpista de Temer e PSDB têm ameaçado o programa Em 2017 mais de 326 mil domicílios deixaram de receber o benefício
EXAGERADO,A Lei das Cotas aumentou em 286% a presença de estudantes negros nas universidades brasileiras
VERDADEIRO,As matrículas na educação superior saltaram de 34 milhões em 2002 para 81 milhão em 2015
IMPRECISO,Enquanto nos EUA se consome 26 kg/ha/ano de agrotóxicos aqui se consome 61 kg/ha/ano
VERDADEIRO,22% da população  paga por planos de saúde coletivos e individuais
FALSO,França aprova lei declarando que crianças podem consentir em sexo com adultos
FALSO,Pesquisa mostra Bolsonaro na liderança com 8657% das intenções
FALSO,Em 2016 Apenas 2% de mortes violentas no Brasil estiveram associadas com ações policiais
INSUSTENTÁVEL,A verdade é que o número de homicídios no Brasil passou a crescer de forma consistente a partir do 1º Foro de SP no início dos anos 1990
INSUSTENTÁVEL,Epidemia de crack introduzida no Brasil pelas filiais das Farc
EXAGERADO,De 2012 a 2016 o custo total da União com as dezoito empresas dependentes do governo federal foi de R$ 12231 bilhões O retorno nesse mesmo período foi de R$ 8935 bilhões 73% do total gasto
VERDADEIRO,Está previsto pelo atual governo que para 2019 o Brasil terá déficit primário de R$ 139 bilhões
VERDADEIRO,Em 2019 o valor das renúncias tributárias é de R$ 3035 bilhões 19% da arrecadação
FALSO,Programa Silvio Santos sugere que Bolsonaro é próximo presidente vai salvar o Brasil e não é corrupto
FALSO,Imprensa internacional desmascara LULA e divulga poupança de U$ 108 milhões em Luxemburgo caiu a casa de vez!
EXAGERADO,Aprovamos tudo aqui em São Paulo Não teve um projeto meu que não tenha sido aprovado pela Câmara
IMPRECISO,Se você entra no cheque especial você vai pagar 100% de juros de crédito ao ano
IMPRECISO,É 200% a taxa de juros ao ano no caso do rotativo do cartão de crédito
VERDADEIRO,O PT nunca foi um partido com mais de 100 deputados
VERDADEIRO,O Lula tem muito orgulho de ter sido o presidente que pagou o FMI
FALSO,Mais uma vez alunos sendo humilhados por professores Foi expulsa por tá usando uma camisa do Bolsonaro
VERDADEIRO,Elas unidas as polícias são um exército de 110 mil homens — Paulo Skaf MDB
EXAGERADO,Mas eu reforço mas faz muitos anos que o governo federal não ajusta a tabela do SUS — Márcio França PSB
FALSO,Nós temos a polícia que mais mata e a polícia que mais morre — Professora Lisete PSOL
VERDADEIRO,Temos hoje um déficit de policiais — Rodrigo Tavares PRTB
VERDADEIRO,Na CPTM temos uma rede de 270 quilômetros — Paulo Skaf MDB
INSUSTENTÁVEL,A reforma trabalhista  tem causado esse imenso desemprego — Professora Lisete PSOL
CONTRADITÓRIO,Eu não proibi caça nenhuma de javali — Márcio França PSB
VERDADEIRO,Nós aqui em SP cobramos 4% da alíquota que é destinada à herança e à doações — Marcelo Cândido PDT
EXAGERADO,Nos outros estados há uma medida progressiva que não é fixa como em São Paulo de 4% — Marcelo Cândido PDT
VERDADEIRO,Luiz Marinho que responde na Justiça como réu — João Doria PSDB
VERDADEIRO,Lula lidera todas as pesquisas inclusive aqui em SP — Luiz Marinho PT
FALSO,Fui ministro do Trabalho do presidente Lula  e foi o período que mais nós geramos emprego nesse Brasil nesse país Inclusive aqui no estado de São Paulo — Luiz Marinho PT
CONTRADITÓRIO,Eu por exemplo nessa fase de busca de coligações não aceitei coligação Coligações são troca-troca você faz uma grande coligação mas já começa o governo loteado  Eu preferi não ter compromisso — Paulo Skaf MDB
IMPRECISO,Nós em 83 dias zeramos essa fila de 478 mil pessoas com o Corujão da Saúde — João Doria PSDB
DISTORCIDO,Advogados apresentam patrimônio milionário de Marisa Letícia
CONTRADITÓRIO,Propomos a modernização e aprimoramento do programa Bolsa Família e do Abono Salarial com vantagens para os beneficiários Vamos deixar claro: nossa meta é garantir a cada brasileiro uma renda igual ou superior ao que é atualmente pago pelo Bolsa Família
DISTORCIDO,'Moro deixou o Brasil em escombros' diz jornal de Curitiba
EXAGERADO,Os governos do PT Fizeram a economia crescer em média 4% ao ano
VERDADEIRO,Governos do PT geraram 20 milhões de empregos no país
None,O governo Temer deu um reajuste de salário mínimo abaixo da inflação
VERDADEIRO,É o mesmo presidente Lula que pagou o FMI
VERDADEIRO,As mulheres são maioria na pós-graduação
VERDADEIRO,Lula foi o presidente que mais criou universidades
FALSO,DELAÇÃO BOMBA: Lulinha Embolsou R$ 317 Milhões
FALSO,Boulos foi o mais pesquisado no Google durante o debate
FALSO,Aprovado Cinco anos de prisão para as mulheres que amamentam
DISTORCIDO,Popularidade de Lula bate recorde e chega a 95% diz Ibope
FALSO,Se arma causasse uma explosão de mortes os EUA seria o país mais violento no mundo
FALSO,Quando essa proposta aí do senhor Michel Temer para a reforma da Previdência chegou eu estava no Piauí e lá nessa proposta inicial falava-se em 65 anos de idade mínima de aposentadoria inclusive para o policial militar
IMPRECISO,estava no Piauí vi a expectativa de vida lá no Atlas do IBGE: 69 anos E eu falei: não passa a reforma da previdência
CONTRADITÓRIO,Não é meu pensamento isso de que mulheres devem ganhar menos do que homens porque engravidam
FALSO,Eu nunca fui homofóbico
FALSO,O Brasil tem mais da metade do seu território demarcado entre terra indígena parque nacional quilombola proteção ambiental etc um monte de coisa
FALSO,A gente era o país que tirou 40 milhões da pobreza Agora já devolvemos todos para a pobreza
FALSO,O agronegócio foi responsável por 10% do 1% do crescimento que nós tivemos no ano passado
VERDADEIRO,Um jovem chega ao nono ano termina o ensino básico não sabe ler ou interpretar um texto Só 30% sabem Só 14% sabem fazer operações simples de matemática
VERDADEIRO,O Brasil tem uma população carcerária de mais de 700 mil pessoas
DISTORCIDO,Marina Silva Disse Na GloboNews Que Nenhum Brasileiro Fica Feliz Ao Ver Lula Preso
FALSO,Veja por exemplo os meus gastos deste ano de tudo passagem gabinete tudo  A única coisa que eu uso do gabinete é a cota de passagem
VERDADEIRO,não moro em apartamento funcional não uso auxílio-moradia
